"y.level","term","estimate","std.error","statistic","p.value"
"Medium","(Intercept)",-2.04589925683142,0.483750329746836,-4.22924622687516,2.34475606722009e-05
"Medium","raisedhands",0.0287620779762172,0.0086260449672012,3.33432970562746,0.000855052396830047
"Medium","VisITedResources",0.0330988457155913,0.0067268295716916,4.92042281773877,8.63574503236268e-07
"Medium","AnnouncementsView",0.0299320104193993,0.00988283928072446,3.02868533719645,0.00245620365501872
"Medium","Discussion",0.00681500152468763,0.00652313071433479,1.04474397695442,0.29614131372819
"Medium","genderM",-0.718882877393243,0.363710366690854,-1.9765256732544,0.048095270966816
"High","(Intercept)",-5.50662923287538,0.711373312721184,-7.74084314719528,9.87596755982462e-15
"High","raisedhands",0.0519624305345161,0.00996421996255808,5.21490199230567,1.83914448547407e-07
"High","VisITedResources",0.0556261248303899,0.00886141872907372,6.27733848620473,3.44417740281891e-10
"High","AnnouncementsView",0.0301221100058968,0.0112007957224682,2.68928304312107,0.00716056761968604
"High","Discussion",0.0155605400626454,0.00777456093812381,2.00146865996532,0.0453419078962879
"High","genderM",-1.42668930982208,0.422184659192044,-3.37930163675867,0.000726702281981626
